
PROBABILITY
IN STAGE 1          In Stage 2           In Stage 3           In Stage 4
0.25          0.75          0          0          
0.28155          0.470725          0.325525          0.0062          
0.29402          0.380063          0.360602          0.03008          
0.299832          0.343249          0.348498          0.0450358          
0.302772          0.325492          0.333804          0.0521884          
0.304277          0.315925          0.322783          0.0549873          
0.305          0.310365          0.315099          0.0556941          
0.305272          0.306918          0.309735          0.0555057          
0.305275          0.30464          0.305913          0.0549996          
0.305112          0.303034          0.303117          0.0544341          
0.304841          0.301826          0.301015          0.0539127          
0.3045          0.300863          0.29939          0.0534672          
0.304113          0.300055          0.298096          0.0530989          
0.303694          0.299347          0.297035          0.0527978          
0.303254          0.298708          0.296139          0.052551          
0.302798          0.298114          0.295361          0.0523463          
0.302332          0.297552          0.294667          0.0521736          
0.301859          0.297013          0.294033          0.0520246          
0.301381          0.296491          0.293444          0.0518933          
0.3009          0.29598          0.292886          0.0517749          
